NULL;NULL;NULL;3914,89;19943,077;10,289;17250,016;12588,999;143,243;3295,945
Direito;P;M;274,08;274,08;91,36;91,36;0;0;0
NULL;NULL;NULL;4581,1;16868,075;435,26;2876,76;9965,276;120,382;3201,317
Engenharia Civil;S;F;312,6;312,6;104,2;104,2;0;0;0
NULL;NULL;NULL;4625,3;20705,276;21,831;2470,135;12425,702;124,871;3529,403
Engenharia Civil;V;F;829,26;829,26;86,11;104,2;0;0;0
NULL;S;F;154;170,693;170,693;170,693;8,178;3,187;5,328
Direito;S;F;5433,68;6027,354;1481,778;1538,926;293,235;112,434;188,005
Direito;C;M;6289;4872,375;957,085;991,979;495,946;85,813;297,117
Direito;S;F;91,36;91,36;91,36;91,36;0;0;0
Engenharia Civil;S;M;398,71;398,71;86,11;104,2;0;0;0
Engenharia Civil;S;M;516,66;516,66;86,11;86,11;0;0;0
NULL;NULL;NULL;1590,75;2022,224;11,63;1763,852;0;0;431,474
Direito;S;F;4593,02;12003,453;31,577;2420,793;5451,924;127,842;1830,667
Engenharia Civil;S;F;1041,88;2848,809;2848,809;2848,809;1361,642;29,16;416,127
NULL;NULL;NULL;403,85;565,148;565,148;565,148;0;0;161,298
Direito;I;F;2517;7228,099;31,5;1415,155;3546,121;68,49;1096,488
NULL;NULL;NULL;746,61;3217,564;10,738;2795,933;1915,148;24,841;530,965
Administração;S;F;822,84;1791,076;48,12;395,103;711,804;16,793;239,64
Ciências Contábeis;S;F;1746,63;2959,739;981,284;991,875;1339,196;31,775;453,447
Direito;S;F;6829,74;13445,911;685,166;2352,334;4611,802;137,516;1866,854
NULL;NULL;NULL;520;2066,528;513,294;520,043;1168,561;17,607;360,36
Psicologia ;NULL;F;5672,5;9822,312;1936,49;1990,356;2592,189;141,767;1415,856
Engenharia Civil;S;M;6207,5;1015,127;174,973;308,344;356,121;12,922;151,115
NULL;NULL;NULL;620;3459,575;1726,92;1732,655;2249,288;23,731;566,556
NULL;NULL;NULL;2206,08;12418,541;27,15;1748,007;8130,612;78,175;2003,675
Psicologia ;NULL;M;3403,5;6925,263;2293,285;2323,393;2393,822;88,852;1039,089
Engenharia Civil;S;M;6207,5;3472,787;684,437;704,645;917,358;50,107;500,423
NULL;NULL;NULL;1198,46;1861,136;10,635;785,641;0;0;662,676
Engenharia Civil;S;M;5348;13045,482;2585,954;2632,239;7240,423;113,825;2215,035
NULL;NULL;NULL;185,6;812,524;812,524;812,524;481,039;6,5;139,386
Direito;S;F;6833,32;13447,572;26,144;2352,334;4611,802;137,516;1864,934
NULL;NULL;NULL;991,25;1386,977;10,738;811,092;0;0;395,727
Engenharia Civil;S;F;4757,36;14346,477;11,834;2892,286;7215,965;139,327;2233,825
Engenharia Civil;S;F;404,16;404,16;67,36;67,36;0;0;0
NULL;NULL;NULL;3697,02;12686,663;11,542;3820,317;6447,213;97,009;2445,421
Engenharia Civil;S;F;11,45;13,111;13,111;13,111;0;0;1,661
NULL;NULL;NULL;6856,2;25972,166;10,635;3554,067;14860,062;185,882;4870,022
Direito;S;M;189;189;31,5;31,5;0;0;0
Direito;S;M;5989,5;8622,897;1696,782;1752,56;1627,149;137,172;869,077
Engenharia Civil;S;M;914,04;2285,782;273,561;292,342;924,763;25,074;339,636
NULL;NULL;NULL;654,23;3441,946;76,064;587,966;2190,027;23,056;574,633
NULL;NULL;NULL;1203,61;2152,904;11,63;2141,273;524,357;17,213;407,724
Psicologia ;S;F;5063,87;12607,228;11,834;2543,945;5501,315;138,843;1903,2
Psicologia ;S;F;4538;7846,131;1936,49;1993,664;2062,033;113,414;1132,685
NULL;NULL;NULL;568,92;2305,082;2305,082;2305,082;1322,637;19,264;394,262
Ciências Contábeis;S;F;174,66;174,66;58,22;58,22;0;0;0
Psicologia ;S;F;4679,82;7010,428;2318,551;2354,869;1544,389;107,177;679,042
Engenharia Civil;S;F;3171,26;5892,046;86,11;2539,493;1864,129;62,719;793,938
NULL;NULL;NULL;3141,73;11635,114;10,738;1794,906;6176,679;65,552;2251,153
NULL;NULL;NULL;1225,41;1734,408;12,99;764,506;0;0;508,998
Direito;I;M;3834,92;13096,851;28,937;2634,149;6945,38;120,05;2196,501
Direito;NULL;M;6372,76;5404,361;373,024;478,236;1375,383;139,705;612,503
NULL;NULL;NULL;5773,49;24402,337;11,834;2836,267;15374,419;167,471;4686,957
Direito;S;M;6289;7673,059;1507,227;1562,177;781,02;135,138;467,902
Engenharia Civil;S;M;312,6;312,6;104,2;104,2;0;0;0
NULL;NULL;NULL;6431,93;27141,931;10,289;3554,067;16421,541;185,882;4902,578
Direito;S;F;274,08;274,08;91,36;91,36;0;0;0
Direito;S;M;274,08;274,08;91,36;91,36;0;0;0
NULL;NULL;NULL;221;221;221;221;0;0;0
Direito;C;F;274,08;274,08;91,36;91,36;0;0;0
NULL;NULL;NULL;971,33;1267,35;11,63;1144,33;0;0;296,02
Ciências Contábeis;S;F;2923,14;7642,726;12,99;1542,784;3474,539;81,475;1163,573
Direito;S;M;1572,25;1987,066;1987,066;1987,066;264,056;33,785;116,975
NULL;NULL;NULL;4922,28;25191,841;2750,795;2844,64;17383,176;188,405;4497,98
Administração;NULL;M;2778;5670,758;1403,866;1431,362;1972,112;72,522;848,124
NULL;NULL;NULL;2164,98;6788,934;10,289;1670,204;3649,85;38,939;1025,165
MBA em Gestão Empresarial com Ênfase em Marketing e Pessoas;O;F;3600;13359,8;1085,733;1140,41;7348,001;117,878;2293,92
NULL;NULL;NULL;2236,22;8624,999;69,2;1350,563;4688,399;48,696;1651,684
Pedagogia;S;F;526;1042,206;1042,206;1042,206;341,887;13,732;160,588
Engenharia Civil;S;F;516,66;516,66;86,11;86,11;0;0;0
Administração;S;F;576,46;1551,477;514,282;519,955;728,645;16,134;230,238
Engenharia Civil;C;F;6207,5;3518,739;694,717;712,51;1230,851;44,861;524,628
NULL;NULL;NULL;789,05;1718,278;10,635;1011,846;515,574;0;413,653
Docência no Ensino Superior;S;F;3300;12555,232;1106,032;1194,852;6993,193;109,06;2152,98
NULL;NULL;NULL;3825,25;12454,443;11,834;3186,54;6142,08;88,213;2398,9
NULL;NULL;NULL;650;2656,113;526,719;535,741;1533,654;22,009;450,45
NULL;NULL;NULL;2360,03;7052,058;624,911;657,157;3511,021;69,433;1111,575
Ciências Contábeis;S;F;240,6;240,6;48,12;48,12;0;0;0
Engenharia Civil;S;F;312,6;312,6;104,2;104,2;0;0;0
Administração;NULL;F;5978,06;11239,24;30,676;1447,361;3579,663;117,45;1541,857
Administração;S;M;7523,09;7523,09;2080;5443,09;0;0;0
Psicologia ;NULL;F;4538;8901,181;2202,961;2247,876;2859,26;118,469;1385,452
Direito;S;F;226,5;226,5;37,75;37,75;0;0;0
Direito;S;F;1078,5;1945,184;31,57;299,63;618,469;16,926;231,289
Administração;C;M;48,12;48,12;48,12;48,12;0;0;0
NULL;NULL;NULL;6562,62;3626,123;1185,826;1231,841;263,263;135,794;227,067
NULL;NULL;NULL;1676,06;7395,616;10,289;3094,208;4389,62;8,435;1321,5
Direito;S;F;7546,8;9743,755;1589,653;1657,665;1473,308;162,166;561,482
Engenharia Civil;S;M;528,24;528,24;35,94;104,2;0;0;0
Direito;S;M;274,08;274,08;91,36;91,36;0;0;0
Administração;S;M;48,12;48,12;24,06;24,06;0;0;0
Pedagogia;E;F;2999,82;5366,857;416,313;1088,934;1606,182;53,132;707,723
NULL;NULL;NULL;1225,17;4602,101;27,463;759,32;2527,956;27,352;821,623
Direito;S;F;453;453;75,5;75,5;0;0;0
NULL;NULL;NULL;4688,68;21982,389;526,982;2755,39;13332,483;133,112;3828,114
Administração;S;M;240,6;240,6;48,12;48,12;0;0;0
Engenharia Civil;C;M;101,76;101,76;50,88;50,88;0;0;0
Direito;NULL;M;274,08;274,08;91,36;91,36;0;0;0
Engenharia Civil;I;M;312,6;312,6;104,2;104,2;0;0;0
NULL;NULL;NULL;3590,37;13584,793;536,51;1659,934;8801,22;102,486;2690,717
Direito;S;F;5445;10715,655;2114,61;2171,463;3466,149;142,147;1662,359
NULL;NULL;NULL;607,8;3125,918;10,289;1613,454;1961,502;21,883;534,733
NULL;NULL;NULL;1395,6;2890,036;10,635;1447,909;766,825;0;727,611
MBA em Gestão Empresarial com Ênfase em Marketing e Pessoas;S;M;4800;18128,711;1085,733;1200,1;10044,68;158,51;3125,52
Engenharia Civil;NULL;M;398,71;398,71;86,11;104,2;0;0;0
Engenharia Civil;S;M;312,6;312,6;104,2;104,2;0;0;0
Direito;NULL;M;5445;11149,634;2201,311;2257,69;3900,128;142,147;1662,359
NULL;NULL;NULL;1814,91;6893,365;13,111;1465,755;3654,376;40,784;1383,296
NULL;NULL;NULL;593,51;2613,177;2613,177;2613,177;1553,156;20,785;445,726
NULL;NULL;NULL;12046,62;57129,101;10,738;7503,918;34847,819;335,339;9899,323
NULL;NULL;NULL;1394,81;2118,504;10,635;532,884;0;0;723,694
Direito do Trabalho e Processo do Trabalho;S;M;3520;13408,86;1179,767;1280,106;7476,018;116,33;2296,512
NULL;NULL;NULL;1912,92;9014,05;10,289;1663,088;5479,263;54,549;1567,318
NULL;NULL;NULL;5693,56;25363,337;12,99;20542,683;15454,873;162,015;4052,888
Pedagogia;S;F;451,39;1204,637;1204,637;1204,637;555,819;12,634;180,285
NULL;NULL;NULL;4133,52;17147,869;23,757;1927,086;9781,67;99,429;3133,25
Pedagogia;C;F;3298,36;6025,223;441,828;1131,656;1997,545;59,773;793,544
